,index,Unnamed: 0,relations,classes,features
0,0,0,"['Tai Po Market part of MTR', 'The government called on the public to pay attention to safety facet of government', 'Tolo Highway connects with Tolo Highway', 'Hong Kong ethnic group citizens', 'Highways Department parent organization Transport Department', 'Transport Department has part Highways Department', 'Tunnel owned by Chen Jingqi', 'Cross-Country Tunnel dissolved, abolished or demolished date November 15, 2015', 'multiple government departments applies to jurisdiction Hong Kong', 'petrol bomb subclass of hard object', 'Tolo Highway has part Tseung Kwan O', 'northeastern located in the administrative territorial entity New Territories', 'tunnel subclass of roadblock', 'traffic management system instance of departments', 'tunnel operators part of traffic management system', 'Tai King Street Street located in the administrative territorial entity Tai Po Provincial Park', 'Sheung Shui Ke Ling Roundabout part of Tolo Highway', 'Hung Hom Cross-Harbour designed by Huang Weimin', 'No. 2 Bridge different from No. 2 Bridge', 'Tao Huiyou member of political party CUHK', 'Department subsidiary Civil Security Brigade', 'Tai Po Market MTR Station connecting line MTR', 'MTR Corporation item operated MTR', 'third strike point in time November 15', '2 Bridge of CUHK location CUHK', 'Transport Department subsidiary Highways Department', 'Roubour Tunnel instance of tunnel', 'road smooth traffic facet of user safety', 'hard objects has part petrol bombs', 'Uffizi Gallery location Florence', 'Wu Kai Sha Public Pier different from Wu Kai Sha Public Pier', 'free ferry services parent organization government', 'third strike participant netizen', 'CUHK point in time November 16, 2014', 'Tai Po Tai Wo Road part of Tolo Highway', 'attacked tunnel users part of rioters', 'Transport Department part of Transport Department', 'road smooth traffic facet of traffic', 'Cross-Country Tunnel significant event third strike', 'Tai Po Highway connects with Tolo Highway', 'the rioters instance of riot', 'Uppsala University country Sweden', 'Civil Security Brigade part of Roads Department', 'No. 2 Bridge carries Tolo Highway', 'Tunnel subclass of roadblock', 'Chinese University located on street Tolo Highway', 'Civil Security Brigade parent organization Department', 'government applies to jurisdiction government', 'Tai Po Promenade Pier connects with Wu Kai Sha Public Pier', 'government part of government', 'government departments located in the administrative territorial entity Hong Kong', 'the government headquarters location administrative building', 'No. 2 Bridge location Chinese University']",protest and riot,"['the rioters instance of riot', 'attacked tunnel users part of rioters', 'Roubour Tunnel instance of tunnel', 'Tunnel subclass of roadblock', 'tunnel subclass of roadblock', 'The government called on the public to pay attention to safety facet of government', 'Cross-Country Tunnel significant event third strike', 'tunnel operators part of traffic management system', 'Tai Po Market MTR Station connecting line MTR', 'traffic management system instance of departments', 'hard objects has part petrol bombs', 'road smooth traffic facet of user safety', 'third strike point in time November 15', 'petrol bomb subclass of hard object', 'Tao Huiyou member of political party CUHK', 'Chinese University located on street Tolo Highway', 'Civil Security Brigade part of Roads Department', 'third strike participant netizen', 'Tunnel owned by Chen Jingqi']"
1,1,1,"['Dachang Festival end time 15th', 'Daish part of Shinsho Festival', 'Shrines across the country instance of festivals', 'his wife position held emperor', 'Daish different from Shinsho Festival', 'separation of church and state facet of separation of church and state', 'Yuki-den located in the administrative territorial entity Yuki', 'Dachang Festival end time 3 a.m.', 'legislative headquarters location Grand Palace building', 'Higashi Gyoen instance of maple trees', 'emperor part of royal family', 'Imperial Palace has part Dachang Palace', 'leaders has part Prime Minister', 'Japanese government country Japan', 'Heisei inception November 1990', 'Amaterasu residence throne', 'Emperor Akihito country of citizenship Japan’s', 'Amaterasu instance of ancestor', 'Shrines subclass of ceremonies', 'his wife spouse Akishino', 'Imperial family members country Japan', 'no light outside subclass of emperor can hardly be seen', ""tribute rice subclass of Yukida's new grain"", 'The queen family Imperial family', 'no light outside participant emperor', ""Emperor's has part Imperial Household"", 'Shrines across the country instance of ceremonies', 'evergreen lamp depicts Amaterasu', 'Dachang Festival instance of etiquette', 'Daicho Festival different from Daicho Festival', 'Yuuki-den use sacrificial robe', 'new grain subclass of tribute rice', 'November 1990 point in time November 1990', 'Yukiden country Japan', 'sacrificial hall has part base hall', 'Oucho Festival participant Empress Masako', 'black wine instance of white wine', 'emperor different from emperor', ""Daicho Festival participant Emperor's Emperor's"", 'Dachang Festival participant Empress Masako', 'Hong Kong dollar replaces D', 'Dachang Festival Ceremony point in time November 14th,2017', 'Emperor Akihito position held Emperor', 'Hong Kong dollar based on D. Constitution', 'Imperial Palace has part East Garden', 'Yuuki-den occupant emperor', 'Dachang Festival instance of separation of church and state provisions', 'Shinsho Festival replaced by Daish', 'tribute rice named after Yukida', 'Shinzo Abe position held Prime Minister', 'Yuki-den instance of temple', 'ancestors subclass of ancestors', 'Prime Minister officeholder Shinzo Abe', 'festivals subclass of ceremonies', 'Yuuki-den instance of sacrificial', 'Dachang Palace end time December 8th', 'farewell ceremony location Yuki-den', 'emperor officeholder Akishino', 'executive part of legislative', 'Dachang Palace location East Garden of the Imperial Palace', 'Shinsho Festival followed by Daish', 'Emperor Akihito’s Grand Festival Ceremony point in time November 1990', 'Oucho Festival located in the administrative territorial entity Oucho', 'D different from Hong Kong dollar', 'festival subclass of ceremonies', 'Oucho Festival point in time November 14,2016', 'chang Palace instance of waste', 'praying subclass of praying', 'Shinsho Festival religion Shinsho', 'Dachang Palace date of official opening November 21st', 'Higashi Gyoen parent taxon maple trees']",Recreation and sports activities,"['Shrines across the country instance of festivals', 'festivals subclass of ceremonies', 'festival subclass of ceremonies', ""Daicho Festival participant Emperor's Emperor's"", 'Daicho Festival different from Daicho Festival', 'Shrines across the country instance of ceremonies', 'Daish part of Shinsho Festival', 'Shinsho Festival followed by Daish', 'Oucho Festival located in the administrative territorial entity Oucho', 'Shrines subclass of ceremonies', 'Dachang Festival end time 3 a.m.', 'Shinsho Festival replaced by Daish', 'Imperial Palace has part East Garden', 'Hong Kong dollar based on D. Constitution', 'Emperor Akihito’s Grand Festival Ceremony point in time November 1990', 'Oucho Festival point in time November 14,2016', 'executive part of legislative', 'Dachang Festival end time 15th', 'emperor different from emperor']"
2,2,2,"['Transcontinental Railroad replaces Transcontinental Railway', '2008 Summer Olympics point in time 2008', 'University of parent organization University of', 'University of Toronto country Canada', 'Transcontinental Railroad country United States', 'City University has part City University student dormitory', 'Photo by Chan Ho-ran author Chan Ho-ran', 'broken glass has effect burn marks', 'Transcontinental Railroad instance of transcontinental railroad', 'Chan Rui Stadium located in the administrative territorial entity Lee Siuu', 'Tina Water has part Tina Water', ""No Fire Demon notable work Don't Play Again"", 'FA first aid use first aid', 'charging cables part of charging station', 'Go Wo Lao Street owned by City University', 'hoses connects with screw', 'Supplies Unit has part CityU', ""Don't Play Again followed by Don't Play Again"", 'Bridge instance of bridge', 'Tina Water spouse Tina Water', 'petrol bombs has part petrol', 'fire marks has cause fire', 'no. subclass of plastic', 'medicines subclass of medicine', 'Kee Hall instance of petrol bomb shooting range', 'helmets subclass of supplies', 'CityU product or material produced Supplies', 'Sting nail named after Sting', 'bridge instance of bridge', ""CityU Supplies Unit country People's Republic of China"", 'glass has part glass shards', 'Chan Ho-ran notable work Photo by Chan Ho-ran', 'Black Lives Matter movement instance of movement', 'CityU Supplies Unit applies to jurisdiction CityU', '2012 Summer Olympics point in time 2012', 'petrol bombs subclass of throw petrol bombs', 'University of part of University of', 'bandages subclass of medicines', 'Lee Siuu Station different from Chan Rui Stadium', 'pedestrian foot facet of pedestrian', 'Kee Hall instance of shooting range', 'Kee Hall location Kee Hall', 'City University has part Go Wo Lao Street', 'Shek Kip Kip owned by City University', 'University of the University of instance of campus', 'CityU part of CityU', 'Stinging nail subclass of nails', 'medicines has part medicines', 'CityU different from CityU', 'Tina Water notable work Tina Water', 'No. subclass of plastic', 'Operation Iraqi Freedom point in time 2003', 'Sting nail subclass of nails', 'Mei Park different from Mei Park', 'helmet has part eye mask', 'University of different from University of', 'pedestrian foot creator Photo by Chan Ho-ran', 'John F. Kennedy School of Government part of Harvard University', 'University of Oxford country United Kingdom', 'Alamo located in the administrative territorial entity California', 'helmet part of boarders', 'Black Saturday movement Black Lives Matter movement', 'plastic no subclass of plastic', 'Operation Iraqi Freedom country Iraq', 'supply station different from supply station', 'Mei Park significant event deserted', '2014 Commonwealth Games point in time 2014', 'helmet subclass of travel case', 'John F. Kennedy position held President']",protest and riot,"['Black Lives Matter movement instance of movement', 'fire marks has cause fire', 'charging cables part of charging station', 'Black Saturday movement Black Lives Matter movement', 'Operation Iraqi Freedom country Iraq', 'broken glass has effect burn marks', '2012 Summer Olympics point in time 2012', 'Kee Hall instance of petrol bomb shooting range', 'hoses connects with screw', 'bandages subclass of medicines', ""CityU Supplies Unit country People's Republic of China"", 'Bridge instance of bridge', 'bridge instance of bridge', ""Don't Play Again followed by Don't Play Again"", 'petrol bombs has part petrol', 'Kee Hall instance of shooting range', 'City University has part City University student dormitory', 'CityU product or material produced Supplies', '2014 Commonwealth Games point in time 2014']"
3,3,3,"['current current facet of current', 'APYonhaphap different from APYonhaphapYonhap', '2008 Summer Olympics point in time 2008', 'Yonhap News Agency owned by Yonhap News Agency', 'South Korea diplomatic relation Hong', 'level of subclass of level', 'foreign ministry subsidiary foreign ministry official', 'security situation in Hong Kong country Hong Kong', 'level of raise the level of facet of level of raise the level of', 'prosperity opposite of stability', 'level of travel warning, for Hong Hong facet of Hong', 'blue alert subclass of blue alert', 'paying attention part of paying attention', 'foreign ministry office held by head of the organization foreign ministry official', 'Kim In In employer South Korean Foreign Ministry', 'South Africa diplomatic relation South Korea', '2009 point in time 2009', '-cheol said said to be the same as -cheol', 'demonstrations continue organizer APYonhaphaphaphap', 'cultural exchanges subclass of cultural exchanges', 'South Korean Foreign Ministry parent organization South Korean Foreign Ministry', 'stability said to be the same as prosperity', 'South Kong located in the administrative territorial entity South Africa', 'traveling to Hong Kong facet of Hong Kong', 'level of raise the level of subclass of level of raise the level of', 'level subclass of travel warning', 'Hong Kong different from Hong Kong', 'foreign ministry official parent organization foreign ministry', 'level of the level of the level of instance of level', 'South Korean government country South Korea', 'APYonhaphaphap owned by APYonhaphap', 'current point in time current', 'economic has part trade exchange', 'demonstrations on November 14 part of demonstrations', 'Hong Kong society facet of Hong Kong', 'foreign ministry subsidiary foreign ministry', 'economic subclass of trade exchange', 'prosperity has part stability', '-cheol said by -cheol said at a regular regular regular', 'Ministry of Foreign Affairs part of South Korean Ministry of Foreign Affairs', 'South Kong country South', 'South Korean government applies to jurisdiction South Korean', 'Hong Kong issue has effect Hong Kong issue', 'prosperity and stability facet of Hong Kong', 'Yonhap News Agency different from Yonhap News Agency', 'citizens subclass of Korean citizens', 'Ljubljana country Slovenia']",International Politics and Diplomacy,"['foreign ministry office held by head of the organization foreign ministry official', 'foreign ministry subsidiary foreign ministry official', 'South Africa diplomatic relation South Korea', 'foreign ministry subsidiary foreign ministry', 'South Korea diplomatic relation Hong', 'Ministry of Foreign Affairs part of South Korean Ministry of Foreign Affairs', 'foreign ministry official parent organization foreign ministry', 'Kim In In employer South Korean Foreign Ministry', 'cultural exchanges subclass of cultural exchanges', 'South Korean Foreign Ministry parent organization South Korean Foreign Ministry', 'Hong Kong society facet of Hong Kong', 'traveling to Hong Kong facet of Hong Kong', 'level subclass of travel warning', 'citizens subclass of Korean citizens', 'South Korean government applies to jurisdiction South Korean', 'Hong Kong issue has effect Hong Kong issue', 'economic subclass of trade exchange', 'South Kong country South', 'level of travel warning, for Hong Hong facet of Hong']"
4,4,4,"['deceased has cause cause of death', 'Flooding has cause Flooding', 'electrocuted has effect electrocuted', 'exhibits part of museum building and exhibits', 'underground citadel of St instance of citadel', 'underground citadel of St location St', 'local time facet of local time', 'Karole V employer Peggy Guggenheim Collection', 'temporary bridges subclass of bridges', '9th century AD part of 9th century', 'flooded subclass of flooded', 'Floodwaters poured into the streets of Venice located in the administrative territorial entity Venice', 'Venice Lagoon located in or next to body of water Venice Lagoon', 'cause of death facet of other deceased', 'flooded location basement', 'streets of Venice located in the administrative territorial entity Venice', 'St Marks Basilica part of St Marks Basilica', ""St Mark's Basilica located in the administrative territorial entity Venice"", 'Italian head of government Giuseppe Con', 'Venice significant event Floodwaters', 'collections has part exhibits', 'APModLoader instance of strong', 'Teatro La Fen location Teatro La Fen', 'declare a state of emergency subclass of state of emergency', 'city significant event flooded', '194 meters point in time 1966', 'AP fixme instance of strong', 'wade subclass of tourists', 'Venice Mayor officeholder Luigi Brugnaro', 'island subclass of island', 'Venice Lagoon located in the administrative territorial entity Venice', 'Peggy Guggenheim Collection has part Karole V', 'museum has part exhibits', 'Venice instance of city', 'Giuseppe Con father Giuseppe Con', 'Italian instance of news agency', 'The glass windows were shattered has effect flooded', 'Venice Lagoon instance of high tide level', 'bridges on major roads subclass of bridge', 'Palazzo Grassi location Palazzo Grassi', 'One of them located in the administrative territorial entity Venice', 'Venice country Italian', 'bridges crosses roads', 'underground citadel located in the administrative territorial entity St. Petersburg', 'other deceased has part cause of death', 'Basilica located in the administrative territorial entity Venice', 'Peggy Guggenheim Collection has works in the collection Karole V', 'state of emergency subclass of declare a state of emergency', 'high tide level subclass of high tide', 'man who was electrocuted while pumping away stagnant water instance of electrocuted', 'Giuseppe Con country of citizenship Italian', 'wade different from wade', 'torrent has effect flood', 'the city named after Venice', 'local time different from local time']",natural disaster,"['deceased has cause cause of death', 'cause of death facet of other deceased', 'Flooding has cause Flooding', 'torrent has effect flood', 'declare a state of emergency subclass of state of emergency', 'state of emergency subclass of declare a state of emergency', 'The glass windows were shattered has effect flooded', 'other deceased has part cause of death', 'city significant event flooded', 'flooded subclass of flooded', 'island subclass of island', 'high tide level subclass of high tide', 'Venice significant event Floodwaters', 'flooded location basement', 'electrocuted has effect electrocuted', 'underground citadel of St instance of citadel', 'underground citadel located in the administrative territorial entity St. Petersburg', 'Teatro La Fen location Teatro La Fen', 'man who was electrocuted while pumping away stagnant water instance of electrocuted']"
5,5,5,"['inequality subclass of discrimination', 'sovereignty country China', 'Hong Kong Police Force instance of Ordinance', 'Duan Chongzhi different from Duan Chongzhi', 'students field of work studies', 'Duan Chongzhi member of political party CUHK', 'Duan Chongzhi position held school board', 'Mainland Chinalong ethnic group Hong Kong Chinese', 'violent student demonstrators has effect disrupted the lives of faculty, staff and other students over the past few months', 'disrupted the lives of faculty, staff and other students facet of so-called violent student demonstrators', 'violent demonstrators subclass of political struggle', 'Basic Law of the Hong Kong Special Administrative Region has part Article 1 of the Basic Law of the Hong Kong Special Administrative Region', 'The right to perform duties instance of right', 'Chinese University of Hong Kong different from Chinese University of Hong Kong', 'riots were burned down, injured or even beaten by violent protesters facet of violent protesters', 'basic rights has part personal safety', 'political struggle has part violence', 'criminal offense has effect prosecuted', 'students represents Chinese University of Hong Kong', 'legal rights facet of legal', 'Chinese University of Hong Kong instance of public channels', 'Temporary injunction location CUHK', 'democracy opposite of freedom', 'government applies to jurisdiction Hong Kong', 'Chinese University of Hong Kong chairperson Duan Chongzhi', 'two systems has part one country', 'Temporary injunction participant police', ""Commissioner's Office of the Ministry of Foreign Affairs in Hong Kong applies to jurisdiction Hong Kong"", 'Hong Kong High Court applies to jurisdiction Hong Kong', 'physical subclass of mental health', 'discrimination subclass of unequal treatment for no reason', 'school property owned by school personnel', 'prosecuted subclass of criminal offense', 'democracy said to be the same as freedom', 'fighting violent demonstrators part of law', 'sovereignty facet of one country, two systems', 'Chinese University of Hong Kong parent organization school board of directors', 'the police’s performance of their duties facet of police', 'violence subclass of intolerable', 'violent student demonstrators part of the past few months', 'studies practiced by students', 'discrimination subclass of inequality', 'fighting violent demonstrators location Chinese University of Hong Kong', 'CUHK founded by Duan Chongzhi', 'students field of this occupation studies', 'Information pictures subclass of online pictures', 'occupying the campus subclass of demonstrators', 'open letters subclass of public occasions', 'students who want to concentrate on their studies opposite of students who want to concentrate on their studies', 'occupying the campus subclass of illegally', 'Duan Chongzhi father Duan Chongzhi', 'Hong Kong Police Force Ordinance has part Section 10, 503 and 504', 'His Excellency officeholder Duan Chongzhi', 'Mainland Chinalong instance of Mainland', 'right to perform duties facet of police', ""sufficient reasons to believe facet of sufficient reasons to believe that the school's own security forces are unable to protect our safety"", 'Open letters subclass of public occasions', 'Hong Kong Police Force country China', 'manage subclass of live in', 'legal rights has effect violated', 'violated has cause legal rights', 'mental health part of physical', 'President applies to jurisdiction CUHK Student Union', 'mental health different from physical', 'more and more illegal protests location Hong Kong', 'prosecuted has cause criminal offense', 'Shenzhen Youth Station located in the administrative territorial entity Hong Kong', 'Hong Kong office held by head of government President', 'Right to perform duties facet of police', 'Duan Chongzhi educated at school board', 'physical different from mental health', 'school board instance of public channels', 'manage different from live in']",protest and riot,"['riots were burned down, injured or even beaten by violent protesters facet of violent protesters', 'violent demonstrators subclass of political struggle', 'disrupted the lives of faculty, staff and other students facet of so-called violent student demonstrators', 'fighting violent demonstrators location Chinese University of Hong Kong', 'fighting violent demonstrators part of law', 'violent student demonstrators has effect disrupted the lives of faculty, staff and other students over the past few months', 'more and more illegal protests location Hong Kong', 'political struggle has part violence', 'violence subclass of intolerable', 'violent student demonstrators part of the past few months', 'occupying the campus subclass of demonstrators', 'occupying the campus subclass of illegally', 'violated has cause legal rights', 'legal rights has effect violated', 'discrimination subclass of inequality', 'prosecuted has cause criminal offense', ""sufficient reasons to believe facet of sufficient reasons to believe that the school's own security forces are unable to protect our safety"", 'Temporary injunction participant police', 'prosecuted subclass of criminal offense']"
6,6,6,"['Jiang Minzheng occupation candidate', 'violence has effect intimidation', 'masks subclass of mask', 'street station named after Jiang Minzheng', 'Jiang Minzheng member of political party candidate', 'Feng Hua member of Electoral Affairs Commission', 'September 11 attacks point in time September 11, 2001', 'assault resulting in injury participant Jiang Minzheng', '2012 election point in time 2012', 'Jiang Minzheng significant event attacked', 'Jiang Minzheng spouse Jiang Minzheng', 'Feng Hua employer Electoral Affairs Commission', 'Jiang Min Min employer North District Hospital', 'The case was participant police', 'North District Hospital subsidiary North District Hospital', '16th point in time 16th', '2010 election point in time 2010', 'The case operator police', 'Hong Kong Letters from Home point in time 16th today', 'head different from head', 'Liu Xinghong member of political party Liu Xinghong', '2008 general election point in time 2008', 'election can go smoothly instance of election', 'attacked participant EAC', 'election point in time 2018', 'beat you to death different from beat you to death', 'private car subclass of car', 'police field of work case', 'Hong Kong Letters from Home has part Hong Kong Letters from Home', 'voters located in the administrative territorial entity Hong Kong', '2011 election point in time 2011', 'punched followed by kicked', 'head part of head', 'beat you to death subclass of beat', 'Hong Kong Letters from Home publication date 16th today', ""attacked location members' offices"", 'intimidation subclass of violence', 'Jiang Minzheng field of work assault resulting in injury', 'electoral activities facet of dissidents', 'Jiang Minzheng and the female street station volunteer named after Jiang Minzheng', 'Zhejiang head of government Zheng', 'Jiang Minzheng significant event punched by three people', 'Jiang Minzheng medical condition treated abras', ""attacked and members' offices have been destroyed instance of attacked"", 'street station named after street', 'punched has part kicked', 'Jiang Min Min occupation police', 'North District Hospital parent organization North District Hospital', 'Jiang Minzheng father Jiang Minzheng', 'dissidents subclass of electoral activities', 'election point in time 2016', 'OkawaruHelpHelpHelp main subject inappropriate behavior', 'Liu Xinghong place of birth same district', '2006 election point in time 2006', 'EAC significant event attacked']",Wounding,"['violence has effect intimidation', ""attacked and members' offices have been destroyed instance of attacked"", 'intimidation subclass of violence', 'beat you to death subclass of beat', 'beat you to death different from beat you to death', 'EAC significant event attacked', 'assault resulting in injury participant Jiang Minzheng', 'Jiang Minzheng field of work assault resulting in injury', 'punched followed by kicked', ""attacked location members' offices"", 'punched has part kicked', 'Jiang Minzheng significant event attacked', 'attacked participant EAC', 'head different from head', '2011 election point in time 2011', 'head part of head', 'Jiang Minzheng significant event punched by three people', '2006 election point in time 2006', 'OkawaruHelpHelpHelp main subject inappropriate behavior']"
7,7,7,"['Association of News Executives instance of news groups', '2008 Summer Olympics point in time 2008', 'firing part of the police', 'Argyle Street point in time November 16', 'Commercial Station has part Commercial Station', 'sponge bomb used by reporters', 'report the truth practiced by journalists', 'sponge bomb use dispersing operations on Portland Street', 'Commercial Station owned by Commercial Station', 'riot guard subclass of police officer', 'Hong Kong Journalists Association instance of reporters', 'student reporter subclass of reporter', 'sponge rounds used by riot guard', 'sponge bomb instance of dispersing operations', 'The police has part police officers', 'violence against journalists has cause police', 'journalist field of this occupation report the truth to society', 'violence against journalists subclass of violence', 'firing participant police', 'Commercial Radio affiliation Commercial Television', 'violence against journalists participant police', 'riot guard field of this occupation riot', 'chief executive different from chief executive', 'police officers part of police', 'press freedom facet of press freedom', 'Argyle Street significant event November 16, when the police advanced towards the intersection', 'chief executive appointed by chief executive', 'Violence against journalists participant police', 'News Executives Association located in the administrative territorial entity Hong Kong', 'sponge bomb operator police', 'Commercial Television replaces Commercial Radio', 'rioters instance of roadblock', 'police officers involved were currently on leave facet of police', 'sponge bomb location Portland Street', 'petrol bomb has part petrol', 'chief executive subclass of chief executive', 'student reporter subclass of online media', 'John F. Kennedy School of Government part of Harvard University', 'journalists has part violence against journalists', 'news organizations and representatives facet of press freedom', 'Commercial Station different from Commercial Station', 'shooting participant police', 'Nathan Road part of Mong Kok', 'riots instance of riot']",protest and riot,"['riots instance of riot', 'riot guard field of this occupation riot', 'rioters instance of roadblock', 'riot guard subclass of police officer', 'violence against journalists has cause police', 'violence against journalists participant police', 'Violence against journalists participant police', 'violence against journalists subclass of violence', 'sponge rounds used by riot guard', 'shooting participant police', 'firing participant police', 'journalists has part violence against journalists', 'police officers part of police', 'Argyle Street significant event November 16, when the police advanced towards the intersection', 'firing part of the police', 'journalist field of this occupation report the truth to society', 'sponge bomb operator police', 'The police has part police officers', 'petrol bomb has part petrol']"
8,8,8,"['2008 Summer Olympics point in time 2008', 'RMB part of RMB', '2018 point in time 2018', 'ruble part of ruble', 'Chinese President officeholder Xi Jinping', 'Xi Jinping work location international stage', 'Russian Central Bank has part Russian Central Bank', 'Xi Jinping participant in international stage', 'international reserve maintained by Russian Central Bank', 'Chinese government bonds subclass of foreign securities', 'sovereignty subclass of security', 'holdings subclass of debt', 'current international situation facet of international stage', 'Russian Deputy Finance Minister chairperson Vladimir Korechev', 'central bank instance of central bank', 'foreign exchange reserves country Russia', 'ruble replaced by euro', 'Russian Central Bank parent organization Russian Central Bank', 'de-dollarization facet of foreign exchange reserves', 'RMB country China', 'The relationship between Russia and China country Russia', 'Russian Central Bank applies to jurisdiction Russian', 'holdings of U.S. debt point in time 2018', 'euro country Russia’s', 'euro opposite of U.S. dollar', 'unilateralism subclass of unilateralism', 'Vladimir Putin participant in BRICS Summit', 'sovereignty has part security', 'China contains administrative territorial entity RMB', 'Russian Insight instance of newspaper', 'Russia diplomatic relation China', 'unilateralism instance of bullying', 'relationship country Russia', 'BRICS has part Russia', 'Xi Jinping position held Chinese President', 'China diplomatic relation Russia']",International Politics,"['current international situation facet of international stage', 'Xi Jinping participant in international stage', 'Chinese government bonds subclass of foreign securities', 'China diplomatic relation Russia', 'Russia diplomatic relation China', 'Xi Jinping work location international stage', '2008 Summer Olympics point in time 2008', 'relationship country Russia', 'The relationship between Russia and China country Russia', 'China contains administrative territorial entity RMB', 'Vladimir Putin participant in BRICS Summit', 'foreign exchange reserves country Russia', 'de-dollarization facet of foreign exchange reserves', 'euro country Russia’s', 'international reserve maintained by Russian Central Bank', 'unilateralism subclass of unilateralism', 'euro opposite of U.S. dollar', 'Chinese President officeholder Xi Jinping', 'Russian Central Bank applies to jurisdiction Russian']"
9,9,9,"['2008 Summer Olympics point in time 2008', 'Nineteen Eighty-Four author George Orwell', 'World War II follows World War I', 'Poland capital Kraków', 'Baku country Turkey', 'three strikes part of strikes', 'suit subclass of suit', 'bricks use brick', 'Leningrad country India', 'Des V connects with Des V Street', 'Russia contains administrative territorial entity Leningrad', 'Leningrad country China', 'sidewalk different from road', 'Brick subclass of debris', 'Road Central headquarters location Central', 'Ice House Street connects with Des V', 'man in black facet of black', 'Des V terminus Des V Street', 'bus stop subclass of road stop', 'road opposite of sidewalk', 'Internet part of Internet', 'John F. Kennedy School of Government part of Harvard University', 'handbag subclass of handbag', '2009 Commonwealth Games point in time 2009', '2004 Summer Olympics point in time 2004', 'Road Central located in the administrative territorial entity Central', 'suit named after suit', 'England capital London', 'a short video distributed by Internet', 'man in black field of work black', 'World Heritage Site maintained by UNESCO', 'man in black member of political party black', 'John F. Kennedy position held President']",protest and riot,"['three strikes part of strikes', 'Road Central headquarters location Central', 'man in black member of political party black', 'road opposite of sidewalk', '2004 Summer Olympics point in time 2004', 'a short video distributed by Internet', 'bricks use brick', 'man in black field of work black', 'Road Central located in the administrative territorial entity Central', 'Internet part of Internet', 'Des V terminus Des V Street', 'bus stop subclass of road stop', 'Brick subclass of debris', 'Des V connects with Des V Street', 'sidewalk different from road', 'man in black facet of black', '2008 Summer Olympics point in time 2008', 'Leningrad country China', 'England capital London']"
