,index,Extract from Source,Alignment,predicted_Alignment
0,80,"Exploring Transition Impacts Climate change has the potential to impact many of the clients and customers we serve. In 2018, JPMorgan Chase participated in a pilot exercise to assess how various transitionrelated climate “shocks” could potentially impact the credit quality of companies in certain industries. The purpose of this exercise, which included a group of financial institutions and a third-party consultant, was to gain preliminary insight into the relationship between climate impacts and financial factors. We also sought to identify future areas of research and data that would be needed to improve the robustness of climate-related scenario analysis and stress testing over time.",Not Aligned,Partial Aligned
1,81,"Exploring Transition Impacts Climate change has the potential to impact many of the clients and customers we serve. In 2018, JPMorgan Chase participated in a pilot exercise to assess how various transitionrelated climate “shocks” could potentially impact the credit quality of companies in certain industries. The purpose of this exercise, which included a group of financial institutions and a third-party consultant, was to gain preliminary insight into the relationship between climate impacts and financial factors. We also sought to identify future areas of research and data that would be needed to improve the robustness of climate-related scenario analysis and stress testing over time.",Not Aligned,Partial Aligned
2,82,"Exploring Transition Impacts Climate change has the potential to impact many of the clients and customers we serve. In 2018, JPMorgan Chase participated in a pilot exercise to assess how various transitionrelated climate “shocks” could potentially impact the credit quality of companies in certain industries. The purpose of this exercise, which included a group of financial institutions and a third-party consultant, was to gain preliminary insight into the relationship between climate impacts and financial factors. We also sought to identify future areas of research and data that would be needed to improve the robustness of climate-related scenario analysis and stress testing over time.",Not Aligned,Partial Aligned
3,83,"Exploring Transition Impacts Climate change has the potential to impact many of the clients and customers we serve. In 2018, JPMorgan Chase participated in a pilot exercise to assess how various transitionrelated climate “shocks” could potentially impact the credit quality of companies in certain industries. The purpose of this exercise, which included a group of financial institutions and a third-party consultant, was to gain preliminary insight into the relationship between climate impacts and financial factors. We also sought to identify future areas of research and data that would be needed to improve the robustness of climate-related scenario analysis and stress testing over time.",Not Aligned,Partial Aligned
4,84,"Exploring Transition Impacts Climate change has the potential to impact many of the clients and customers we serve. In 2018, JPMorgan Chase participated in a pilot exercise to assess how various transitionrelated climate “shocks” could potentially impact the credit quality of companies in certain industries. The purpose of this exercise, which included a group of financial institutions and a third-party consultant, was to gain preliminary insight into the relationship between climate impacts and financial factors. We also sought to identify future areas of research and data that would be needed to improve the robustness of climate-related scenario analysis and stress testing over time.",Not Aligned,Partial Aligned
5,85,"C3. Business StrategyC3.1(C3.1) Have climate-related risks and opportunities influenced your organization’s strategy and/or financial planning?Yes, and we have developed a low-carbon transition planC3.1a(C3.1a) Does your organization use climate-related scenario analysis to inform its strategy?Yes, qualitative, but we plan to add quantitative in the next two years C3.1b(C3.1b) Provide details of your organization’s use of climate-related scenario analysis. Climate-related scenarios and models applied DetailsOther, please specify (We also partnered with climate change experts at MIT to produce exploratory transition scenarios. )We also partnered with climate change experts at Massachusetts Institute of Technology ('MIT') to produce exploratory transition scenarios. These scenarios were used to raise internal awareness of the different speeds with which transition could occur, the resulting investment requirements, the implications for energy system configuration and the broad macroeconomic costs.",Not Aligned,Aligned
6,86,"C3. Business StrategyC3.1(C3.1) Have climate-related risks and opportunities influenced your organization’s strategy and/or financial planning?Yes, and we have developed a low-carbon transition planC3.1a(C3.1a) Does your organization use climate-related scenario analysis to inform its strategy?Yes, qualitative, but we plan to add quantitative in the next two years C3.1b(C3.1b) Provide details of your organization’s use of climate-related scenario analysis. Climate-related scenarios and models applied DetailsOther, please specify (We also partnered with climate change experts at MIT to produce exploratory transition scenarios. )We also partnered with climate change experts at Massachusetts Institute of Technology ('MIT') to produce exploratory transition scenarios. These scenarios were used to raise internal awareness of the different speeds with which transition could occur, the resulting investment requirements, the implications for energy system configuration and the broad macroeconomic costs.",Not Aligned,Aligned
7,87,"C3. Business StrategyC3.1(C3.1) Have climate-related risks and opportunities influenced your organization’s strategy and/or financial planning?Yes, and we have developed a low-carbon transition planC3.1a(C3.1a) Does your organization use climate-related scenario analysis to inform its strategy?Yes, qualitative, but we plan to add quantitative in the next two years C3.1b(C3.1b) Provide details of your organization’s use of climate-related scenario analysis. Climate-related scenarios and models applied DetailsOther, please specify (We also partnered with climate change experts at MIT to produce exploratory transition scenarios. )We also partnered with climate change experts at Massachusetts Institute of Technology ('MIT') to produce exploratory transition scenarios. These scenarios were used to raise internal awareness of the different speeds with which transition could occur, the resulting investment requirements, the implications for energy system configuration and the broad macroeconomic costs.",Not Aligned,Aligned
8,88,"C3. Business StrategyC3.1(C3.1) Have climate-related risks and opportunities influenced your organization’s strategy and/or financial planning?Yes, and we have developed a low-carbon transition planC3.1a(C3.1a) Does your organization use climate-related scenario analysis to inform its strategy?Yes, qualitative, but we plan to add quantitative in the next two years C3.1b(C3.1b) Provide details of your organization’s use of climate-related scenario analysis. Climate-related scenarios and models applied DetailsOther, please specify (We also partnered with climate change experts at MIT to produce exploratory transition scenarios. )We also partnered with climate change experts at Massachusetts Institute of Technology ('MIT') to produce exploratory transition scenarios. These scenarios were used to raise internal awareness of the different speeds with which transition could occur, the resulting investment requirements, the implications for energy system configuration and the broad macroeconomic costs.",Not Aligned,Aligned
9,89,"C3. Business StrategyC3.1(C3.1) Have climate-related risks and opportunities influenced your organization’s strategy and/or financial planning?Yes, and we have developed a low-carbon transition planC3.1a(C3.1a) Does your organization use climate-related scenario analysis to inform its strategy?Yes, qualitative, but we plan to add quantitative in the next two years C3.1b(C3.1b) Provide details of your organization’s use of climate-related scenario analysis. Climate-related scenarios and models applied DetailsOther, please specify (We also partnered with climate change experts at MIT to produce exploratory transition scenarios. )We also partnered with climate change experts at Massachusetts Institute of Technology ('MIT') to produce exploratory transition scenarios. These scenarios were used to raise internal awareness of the different speeds with which transition could occur, the resulting investment requirements, the implications for energy system configuration and the broad macroeconomic costs.",Not Aligned,Aligned
10,90,"Among the risks associated with physical damage caused by climate change, we adopted an approach to measure the impact on the overall credit portfolio using the default probability of a borrower that has changed because of the occurrence of floods, which have been particularly prominent in Japan and other countries in recent years in terms of both frequency of occurrence and damage level. The climate scenarios are based on the Representative Concentration Pathway (RCP) 2.6 (2°C) and RCP8.5 (4°C) scenarios from the Coupled Model Intercomparison Project Phase 5 (CMIP5) released by the Intergovernmental Panel on Climate Change (IPCC). The RCP8.5 scenario, which expects floods to be more frequent and larger in magnitude, was analyzed to estimate the damage caused by floods using data*1 provided by various organizations. In calculating financial impact, in consideration of discussions conducted within the UNEP FI pilot project, we have reflected business suspension periods, loss arising in held assets, and other factors...Based on the results of the UNEP FI pilot project, a comprehensive approach was adopted for the measurement method, combining the bottom-up method at the individual company level and the top-down method at the sector level to assess the impact. In addition to the sustainable development scenario (thebelow2°C scenario) released by the International Energy Agency (IEA), the Network for Greening the Financial System’s (NGFS) 1.5°C scenario was used as an assumption. Both the (well below) 2°C scenario and the 1.5°C scenario were analyzed for the impact on credit ratings under each scenario and the financial impact for the target sectors’ overall credit portfolio.",Not Aligned,Partial Aligned
11,91,"Among the risks associated with physical damage caused by climate change, we adopted an approach to measure the impact on the overall credit portfolio using the default probability of a borrower that has changed because of the occurrence of floods, which have been particularly prominent in Japan and other countries in recent years in terms of both frequency of occurrence and damage level. The climate scenarios are based on the Representative Concentration Pathway (RCP) 2.6 (2°C) and RCP8.5 (4°C) scenarios from the Coupled Model Intercomparison Project Phase 5 (CMIP5) released by the Intergovernmental Panel on Climate Change (IPCC). The RCP8.5 scenario, which expects floods to be more frequent and larger in magnitude, was analyzed to estimate the damage caused by floods using data*1 provided by various organizations. In calculating financial impact, in consideration of discussions conducted within the UNEP FI pilot project, we have reflected business suspension periods, loss arising in held assets, and other factors...Based on the results of the UNEP FI pilot project, a comprehensive approach was adopted for the measurement method, combining the bottom-up method at the individual company level and the top-down method at the sector level to assess the impact. In addition to the sustainable development scenario (thebelow2°C scenario) released by the International Energy Agency (IEA), the Network for Greening the Financial System’s (NGFS) 1.5°C scenario was used as an assumption. Both the (well below) 2°C scenario and the 1.5°C scenario were analyzed for the impact on credit ratings under each scenario and the financial impact for the target sectors’ overall credit portfolio.",Not Aligned,Partial Aligned
12,92,"Among the risks associated with physical damage caused by climate change, we adopted an approach to measure the impact on the overall credit portfolio using the default probability of a borrower that has changed because of the occurrence of floods, which have been particularly prominent in Japan and other countries in recent years in terms of both frequency of occurrence and damage level. The climate scenarios are based on the Representative Concentration Pathway (RCP) 2.6 (2°C) and RCP8.5 (4°C) scenarios from the Coupled Model Intercomparison Project Phase 5 (CMIP5) released by the Intergovernmental Panel on Climate Change (IPCC). The RCP8.5 scenario, which expects floods to be more frequent and larger in magnitude, was analyzed to estimate the damage caused by floods using data*1 provided by various organizations. In calculating financial impact, in consideration of discussions conducted within the UNEP FI pilot project, we have reflected business suspension periods, loss arising in held assets, and other factors...Based on the results of the UNEP FI pilot project, a comprehensive approach was adopted for the measurement method, combining the bottom-up method at the individual company level and the top-down method at the sector level to assess the impact. In addition to the sustainable development scenario (thebelow2°C scenario) released by the International Energy Agency (IEA), the Network for Greening the Financial System’s (NGFS) 1.5°C scenario was used as an assumption. Both the (well below) 2°C scenario and the 1.5°C scenario were analyzed for the impact on credit ratings under each scenario and the financial impact for the target sectors’ overall credit portfolio.",Not Aligned,Partial Aligned
13,93,"Among the risks associated with physical damage caused by climate change, we adopted an approach to measure the impact on the overall credit portfolio using the default probability of a borrower that has changed because of the occurrence of floods, which have been particularly prominent in Japan and other countries in recent years in terms of both frequency of occurrence and damage level. The climate scenarios are based on the Representative Concentration Pathway (RCP) 2.6 (2°C) and RCP8.5 (4°C) scenarios from the Coupled Model Intercomparison Project Phase 5 (CMIP5) released by the Intergovernmental Panel on Climate Change (IPCC). The RCP8.5 scenario, which expects floods to be more frequent and larger in magnitude, was analyzed to estimate the damage caused by floods using data*1 provided by various organizations. In calculating financial impact, in consideration of discussions conducted within the UNEP FI pilot project, we have reflected business suspension periods, loss arising in held assets, and other factors...Based on the results of the UNEP FI pilot project, a comprehensive approach was adopted for the measurement method, combining the bottom-up method at the individual company level and the top-down method at the sector level to assess the impact. In addition to the sustainable development scenario (thebelow2°C scenario) released by the International Energy Agency (IEA), the Network for Greening the Financial System’s (NGFS) 1.5°C scenario was used as an assumption. Both the (well below) 2°C scenario and the 1.5°C scenario were analyzed for the impact on credit ratings under each scenario and the financial impact for the target sectors’ overall credit portfolio.",Not Aligned,Partial Aligned
14,94,"Among the risks associated with physical damage caused by climate change, we adopted an approach to measure the impact on the overall credit portfolio using the default probability of a borrower that has changed because of the occurrence of floods, which have been particularly prominent in Japan and other countries in recent years in terms of both frequency of occurrence and damage level. The climate scenarios are based on the Representative Concentration Pathway (RCP) 2.6 (2°C) and RCP8.5 (4°C) scenarios from the Coupled Model Intercomparison Project Phase 5 (CMIP5) released by the Intergovernmental Panel on Climate Change (IPCC). The RCP8.5 scenario, which expects floods to be more frequent and larger in magnitude, was analyzed to estimate the damage caused by floods using data*1 provided by various organizations. In calculating financial impact, in consideration of discussions conducted within the UNEP FI pilot project, we have reflected business suspension periods, loss arising in held assets, and other factors...Based on the results of the UNEP FI pilot project, a comprehensive approach was adopted for the measurement method, combining the bottom-up method at the individual company level and the top-down method at the sector level to assess the impact. In addition to the sustainable development scenario (thebelow2°C scenario) released by the International Energy Agency (IEA), the Network for Greening the Financial System’s (NGFS) 1.5°C scenario was used as an assumption. Both the (well below) 2°C scenario and the 1.5°C scenario were analyzed for the impact on credit ratings under each scenario and the financial impact for the target sectors’ overall credit portfolio.",Not Aligned,Partial Aligned
15,95,"Risk management: Scenario analysis (1) Since 2019, MUFG has been a participant in the pilot project led by the United Nations Environment Programme Finance Initiative (UNEP FI) with the objective of discussing and developing methods for climate change-related financial information disclosure. Based on the results of the pilot project, we conducted an analysis of transition risks up to the year 2050 and physical risks up to the year 2100. In addition to the results of the above-mentioned pilot project, the scenario analysis reflects the results of verification by external experts. While engaging in dialogue with regulatory authorities, we also continuously examine ways to raise the level of our analytical approaches. Based on the results of the UNEP FI pilot project, a comprehensive approach was adopted for the measurement method, combining the bottom-up method at the individual company level and the top-down method at the sector level to assess the impact. In addition to the sustainable development scenario (thebelow2°C scenario) released by the International Energy Agency (IEA), the Network for Greening the Financial System’s (NGFS) 1.5°C scenario was used as an assumption. Both the (well below) 2°C scenario and the 1.5°C scenario were analyzed for the impact on credit ratings under each scenario and the financial impact for the target sectors’ overall credit portfolio. Selection of sectors to be analyzed Estimate impact by sector (cost of credit, etc.) for each scenario Estimation of impact Perform aggregation and verification of results across multiple patterns according to purpose, hold discussions with related departments, etc. Aggregation and reporting Perform sample company selection incorporating portfolio characteristics of sectors, discussions with relevant departments, etc. Sample company selection Perform selection of parameters based on industry characteristics and construction of a Risk Factor pathway for risk measurement Parameter selection Transition risks Scenario analysis process Methods and results Scenario • Various scenarios, including the sustainable development scenario (thebelow2°C scenario) of the IEA and the 1.5°C scenario released by the NGFS Analytical method • An integrated approach was adopted to assess the impact by combining the bottom-up approach at the individual company level and the top-down approach at the sector level. Using this approach, the impact on credit ratings in each scenario was analyzed along with the financial impact for the target sectors’ overall credit portfolio. Target sector • Energy, utilities, automotive, steel, air transportation, and maritime transportation sectors Target period • Until 2050 using the end of March 2022 as the standard Result of analysis • Single-year basis: 1.5 billion yen to 28.5 billion yen11 No significant change under standards as of the end of March 2023 R",Not Aligned,Partial Aligned
16,96,"Risk management: Scenario analysis (1) Since 2019, MUFG has been a participant in the pilot project led by the United Nations Environment Programme Finance Initiative (UNEP FI) with the objective of discussing and developing methods for climate change-related financial information disclosure. Based on the results of the pilot project, we conducted an analysis of transition risks up to the year 2050 and physical risks up to the year 2100. In addition to the results of the above-mentioned pilot project, the scenario analysis reflects the results of verification by external experts. While engaging in dialogue with regulatory authorities, we also continuously examine ways to raise the level of our analytical approaches. Based on the results of the UNEP FI pilot project, a comprehensive approach was adopted for the measurement method, combining the bottom-up method at the individual company level and the top-down method at the sector level to assess the impact. In addition to the sustainable development scenario (thebelow2°C scenario) released by the International Energy Agency (IEA), the Network for Greening the Financial System’s (NGFS) 1.5°C scenario was used as an assumption. Both the (well below) 2°C scenario and the 1.5°C scenario were analyzed for the impact on credit ratings under each scenario and the financial impact for the target sectors’ overall credit portfolio. Selection of sectors to be analyzed Estimate impact by sector (cost of credit, etc.) for each scenario Estimation of impact Perform aggregation and verification of results across multiple patterns according to purpose, hold discussions with related departments, etc. Aggregation and reporting Perform sample company selection incorporating portfolio characteristics of sectors, discussions with relevant departments, etc. Sample company selection Perform selection of parameters based on industry characteristics and construction of a Risk Factor pathway for risk measurement Parameter selection Transition risks Scenario analysis process Methods and results Scenario • Various scenarios, including the sustainable development scenario (thebelow2°C scenario) of the IEA and the 1.5°C scenario released by the NGFS Analytical method • An integrated approach was adopted to assess the impact by combining the bottom-up approach at the individual company level and the top-down approach at the sector level. Using this approach, the impact on credit ratings in each scenario was analyzed along with the financial impact for the target sectors’ overall credit portfolio. Target sector • Energy, utilities, automotive, steel, air transportation, and maritime transportation sectors Target period • Until 2050 using the end of March 2022 as the standard Result of analysis • Single-year basis: 1.5 billion yen to 28.5 billion yen11 No significant change under standards as of the end of March 2023 R",Not Aligned,Partial Aligned
