,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
1,1,[0 1 0 0 0 0 1 1 0 0 1 0],2,2
2,2,[0 0 1 0 0 0 0 0 0 0 0 1],2,2
3,3,[1 1 0 0 0 0 0 0 1 0 0 0],2,4
4,4,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
5,5,[1 1 0 0 0 0 1 0 1 0 1 0],2,4
6,6,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
7,7,[0 0 1 0 0 1 0 0 0 0 0 0],2,2
8,8,[0 1 0 0 0 0 1 0 1 0 1 0],4,4
9,9,[0 1 1 0 0 0 0 0 1 0 0 0],2,2
10,10,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
11,11,[1 1 1 0 0 0 0 0 1 0 1 0],2,2
12,12,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
13,13,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
14,14,[1 0 0 0 0 0 1 0 1 0 1 0],2,4
15,15,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
16,16,[0 0 0 0 0 0 1 0 0 0 0 0],2,4
17,17,[1 0 0 0 0 0 0 1 0 0 0 0],2,2
18,18,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
19,19,[1 1 0 0 0 0 1 0 0 0 0 0],2,4
20,20,[1 1 0 0 0 0 1 0 0 0 1 0],2,4
21,21,[1 1 0 0 0 0 1 0 1 0 1 0],2,4
22,22,[0 1 0 0 0 0 0 0 0 1 0 0],2,4
23,23,[0 0 0 0 0 0 1 0 1 0 1 0],4,4
24,24,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
25,25,[0 1 0 0 0 0 1 0 1 0 1 0],2,4
26,26,[0 0 0 0 0 0 1 0 0 1 0 0],2,4
27,27,[1 0 0 0 0 0 0 0 0 1 0 0],2,4
28,28,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
29,29,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
30,30,[1 0 0 0 0 0 1 0 0 0 1 0],2,4
31,31,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
32,32,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
33,33,[0 0 0 0 0 0 1 0 0 0 0 0],4,4
34,34,[1 1 0 0 0 0 0 0 0 0 0 0],2,4
35,35,[1 1 0 0 0 0 1 0 0 0 0 0],2,4
36,36,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
37,37,[1 0 0 0 0 0 0 0 0 0 0 0],4,4
38,38,[1 1 0 0 0 0 0 0 0 0 0 0],2,4
39,39,[1 0 0 0 0 0 0 0 0 0 0 0],4,4
40,40,[1 0 0 0 0 0 1 0 0 0 1 1],2,2
41,41,[1 1 0 0 0 0 1 0 0 1 0 0],2,4
42,42,[0 0 0 0 0 0 0 0 0 0 0 0],2,3
43,43,[1 0 0 0 0 0 0 0 1 0 1 0],2,4
44,44,[0 1 0 0 0 0 1 1 1 1 1 0],2,2
45,45,[0 1 0 0 0 0 0 0 0 0 0 0],4,4
46,46,[1 1 0 0 0 0 0 0 1 0 1 0],2,4
47,47,[1 0 0 0 0 0 0 0 0 0 1 0],2,4
48,48,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
49,49,[0 1 0 0 0 0 0 0 1 0 0 0],2,4
50,50,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
