,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 0 0 0 0 0 1 0 0 1 0 0],2,2
1,1,[1 0 0 0 0 0 1 0 0 0 1 0],2,2
2,2,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
3,3,[0 1 0 0 0 0 1 1 1 1 1 0],2,2
4,4,[1 1 1 1 0 1 1 1 0 0 1 1],2,2
5,5,[0 0 0 0 0 0 1 0 0 0 0 0],2,4
6,6,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
7,7,[0 0 0 0 0 0 1 0 0 0 0 0],2,4
8,8,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
9,9,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
10,10,[1 1 0 0 0 0 1 0 0 0 1 0],2,2
11,11,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
12,12,[0 0 1 0 0 0 1 0 0 0 1 0],2,2
13,13,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
14,14,[0 0 0 0 0 0 0 0 0 0 0 0],3,4
15,15,[0 0 1 0 0 1 0 0 0 0 0 0],2,2
16,16,[1 0 0 0 0 0 0 0 1 0 1 0],2,2
17,17,[1 1 1 0 0 0 0 0 0 0 1 0],2,2
18,18,[1 0 0 0 0 0 1 0 0 0 1 1],2,2
19,19,[1 0 1 0 0 0 1 0 0 0 0 1],2,2
20,20,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
21,21,[0 0 0 0 0 0 0 0 0 1 0 0],4,4
22,22,[0 1 0 0 0 0 1 0 0 0 1 0],2,2
23,23,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
24,24,[0 0 0 0 0 0 0 0 0 0 0 0],3,4
25,25,[1 1 1 1 1 1 0 0 0 0 0 1],1,2
26,26,[1 0 0 0 0 0 0 1 0 0 0 0],2,2
27,27,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
28,28,[1 1 0 0 0 0 1 0 0 0 0 0],4,2
29,29,[0 1 0 0 0 0 0 0 1 0 1 0],4,2
30,30,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
31,31,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
32,32,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
33,33,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
34,34,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
35,35,[0 0 0 0 0 0 1 0 0 0 0 0],4,4
36,36,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
37,37,[0 0 1 0 0 0 0 0 0 0 0 1],2,2
38,38,[1 0 0 0 0 0 1 0 1 1 1 0],2,2
39,39,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
40,40,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
41,41,[1 0 0 0 0 0 1 0 0 0 0 0],2,2
42,42,[1 1 0 0 0 0 0 0 0 1 0 0],2,2
43,43,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
44,44,[0 0 0 0 0 0 0 0 0 0 0 0],3,4
45,45,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
46,46,[1 0 0 0 0 0 1 0 1 0 1 0],2,2
47,47,[0 1 1 0 0 0 0 0 0 0 0 0],2,2
48,48,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
49,49,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
50,50,[1 1 0 0 0 0 0 0 1 0 0 0],2,2
