,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
1,1,[0 0 0 0 0 0 1 0 1 0 1 0],3,3
2,2,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
3,3,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
4,4,[0 0 0 0 0 0 1 0 0 0 0 0],1,3
5,5,[1 1 0 0 0 0 1 0 1 0 1 0],1,1
6,6,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
7,7,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
8,8,[1 0 0 0 0 0 0 0 0 0 1 0],1,1
9,9,[1 1 0 0 0 0 0 0 1 0 1 0],1,1
10,10,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
11,11,[0 0 1 0 0 1 0 0 0 0 0 0],1,1
12,12,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
13,13,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
14,14,[1 1 0 0 0 0 1 0 0 0 0 0],3,1
15,15,[1 0 0 0 0 0 1 0 0 0 1 0],1,1
16,16,[1 1 0 0 0 0 0 0 1 0 0 0],1,1
17,17,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
18,18,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
19,19,[1 1 1 0 0 0 0 0 0 0 0 0],1,1
20,20,[1 0 0 0 0 0 1 0 0 0 0 0],1,1
21,21,[0 0 0 0 0 0 0 0 0 1 0 0],3,1
22,22,[0 0 0 0 0 0 0 0 0 0 0 0],2,3
23,23,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
24,24,[0 1 1 1 0 1 0 1 0 0 0 1],1,1
25,25,[0 1 0 0 0 0 0 0 0 0 0 0],1,3
26,26,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
27,27,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
28,28,[0 0 0 0 0 0 1 0 0 0 0 0],3,3
29,29,[1 1 0 0 0 0 0 0 0 0 1 0],1,1
30,30,[1 0 0 0 0 0 1 0 0 0 1 0],1,1
31,31,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
32,32,[1 0 0 0 0 0 0 0 1 0 1 0],1,1
33,33,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
34,34,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
35,35,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
36,36,[0 1 0 0 0 0 1 0 1 0 1 0],1,1
37,37,[0 0 0 0 0 0 1 0 0 0 0 0],3,3
38,38,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
39,39,[0 0 1 0 0 0 0 0 0 0 0 1],1,1
40,40,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
41,41,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
42,42,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
43,43,[0 1 0 0 0 0 1 1 0 0 1 0],1,1
44,44,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
45,45,[0 0 0 1 0 1 0 0 0 0 0 0],1,1
46,46,[1 1 0 0 0 0 0 0 1 1 1 0],1,1
47,47,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
48,48,[0 1 0 0 0 0 0 0 0 0 0 0],1,3
49,49,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
50,50,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
