,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
1,1,[1 0 0 0 0 0 0 0 0 1 0 0],2,2
2,2,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
3,3,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
4,4,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
5,5,[0 1 0 0 0 0 0 0 0 0 0 0],4,4
6,6,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
7,7,[1 0 0 0 0 0 1 0 0 0 1 0],2,2
8,8,[0 0 1 0 0 0 1 0 0 0 0 1],2,4
9,9,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
10,10,[1 0 0 0 0 0 0 0 0 0 0 0],4,4
11,11,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
12,12,[1 1 0 0 0 0 0 0 0 0 0 0],4,2
13,13,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
14,14,[0 1 0 0 0 0 0 0 1 0 1 0],2,2
15,15,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
16,16,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
17,17,[1 0 0 0 0 0 0 0 1 0 0 0],4,2
18,18,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
19,19,[0 1 0 0 0 0 0 0 0 0 0 0],4,4
20,20,[1 1 1 1 1 1 0 0 0 0 0 1],1,2
21,21,[0 0 0 0 0 0 1 0 0 0 1 0],2,4
22,22,[0 0 0 0 0 0 1 0 1 0 1 0],2,4
23,23,[0 1 0 0 0 0 0 0 1 0 1 0],4,2
24,24,[0 1 0 0 0 0 1 1 0 0 1 0],2,2
25,25,[0 1 0 0 0 0 1 0 1 0 1 0],2,2
26,26,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
27,27,[1 0 1 0 0 0 1 0 0 0 1 1],2,2
28,28,[0 0 0 0 0 0 1 0 1 0 1 0],4,4
29,29,[0 0 1 0 0 0 1 0 0 0 1 0],2,2
30,30,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
31,31,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
32,32,[1 1 0 0 0 0 1 0 0 0 1 0],2,2
33,33,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
34,34,[0 0 0 0 0 0 1 0 0 0 0 0],4,4
35,35,[1 0 0 0 0 0 1 0 0 0 1 0],2,2
36,36,[0 0 1 0 0 0 0 0 0 0 0 0],2,3
37,37,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
38,38,[1 0 0 0 0 0 1 0 1 0 1 1],2,2
39,39,[0 0 0 0 0 0 0 0 0 0 0 0],4,3
40,40,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
41,41,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
42,42,[0 0 0 0 0 0 1 0 0 0 1 0],4,4
43,43,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
44,44,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
45,45,[1 1 0 0 0 0 1 0 1 1 1 0],2,2
46,46,[0 0 1 0 0 0 0 0 0 0 0 0],2,3
47,47,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
48,48,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
49,49,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
50,50,[1 0 0 0 0 0 0 0 0 0 0 0],2,4
