,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 1 0 0 0 0 1 0 0 0 1 0],2,2
1,1,[0 0 0 0 0 0 1 0 0 0 0 0],4,2
2,2,[1 1 0 0 0 0 0 0 0 0 0 0],4,2
3,3,[1 0 0 0 0 0 1 0 1 1 1 0],2,2
4,4,[0 0 0 0 0 0 1 0 0 0 0 0],2,2
5,5,[1 0 0 0 0 0 0 0 1 0 0 0],4,2
6,6,[1 1 0 0 0 0 1 0 1 0 1 0],2,2
7,7,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
8,8,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
9,9,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
10,10,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
11,11,[1 0 0 0 0 0 1 0 0 0 0 0],2,2
12,12,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
13,13,[1 0 1 0 0 0 1 0 0 0 1 1],2,2
14,14,[1 0 0 0 0 0 1 0 0 0 0 0],2,2
15,15,[1 1 0 0 0 0 1 0 0 0 0 0],4,2
16,16,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
17,17,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
18,18,[0 0 0 1 0 0 0 0 0 0 1 0],2,2
19,19,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
20,20,[1 1 1 1 0 1 1 1 0 0 1 1],2,2
21,21,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
22,22,[0 1 0 0 0 0 1 0 1 0 1 0],2,2
23,23,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
24,24,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
25,25,[0 1 0 0 0 0 0 0 0 0 0 0],4,2
26,26,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
27,27,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
28,28,[0 0 0 0 0 0 1 0 0 0 0 0],2,2
29,29,[1 0 0 0 0 0 1 0 0 0 0 0],2,2
30,30,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
31,31,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
32,32,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
33,33,[0 1 0 0 0 0 1 0 1 0 1 0],2,2
34,34,[0 1 0 0 0 0 1 0 0 1 0 0],4,2
35,35,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
36,36,[0 0 0 0 0 0 1 0 0 0 1 0],2,4
37,37,[1 0 0 0 0 0 1 0 1 0 1 1],2,2
38,38,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
39,39,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
40,40,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
41,41,[1 0 1 0 0 0 1 0 0 0 0 1],2,2
42,42,[1 0 0 0 0 0 1 0 0 0 1 0],2,2
43,43,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
44,44,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
45,45,[0 0 0 0 0 0 0 0 0 0 0 0],2,4
46,46,[1 1 0 0 0 0 0 0 1 0 1 0],2,2
47,47,[0 0 1 0 0 0 1 0 0 0 1 0],2,2
48,48,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
49,49,[1 1 0 0 0 0 0 0 1 1 1 0],2,2
50,50,[0 1 1 0 0 0 0 0 0 1 0 0],2,2
